BSSID, First_time_seen, Last_time_seen, channel, Speed, Privacy, Cipher, Authentication, Power, N_beacons, N_IV, LAN_IP, ID-length, ESSID, Key
E8:28:C1:DC:54:72, 2023-07-28 09:36:31, 2023-07-28 10:27:45,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DE:47:D1, 2023-07-28 09:40:06, 2023-07-28 09:40:06,  1, 130, OPN, ,   , -76,        1,        0,   0.  0.  0.  0,   0, , 
A2:FE:FF:B8:9B:C9, 2023-07-28 09:41:52, 2023-07-28 09:41:52,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -70,        1,        0,   0.  0.  0.  0,  12, Christie’s, 
76:70:AF:A4:D2:AF, 2023-07-28 09:41:52, 2023-07-28 10:27:25, 11, 180, WPA2, CCMP, PSK, -64,      253,        8,   0.  0.  0.  0,   8, витя, 
D2:25:91:F6:6C:D8, 2023-07-28 09:45:29, 2023-07-28 09:45:42, 12, 180, WPA2, CCMP, PSK, -62,        5,        0,   0.  0.  0.  0,   9, Саня , 
00:AB:0A:00:10:10, 2023-07-28 09:46:33, 2023-07-28 11:15:49, 60,  -1, OPN, ,   ,  -1,        0,       20,   0.  0.  0.  0,   0, , 
00:09:9A:12:55:04, 2023-07-28 09:47:14, 2023-07-28 09:47:14, -1,  -1, , ,   , -68,        0,        0,   0.  0.  0.  0,   0, , 
38:1A:52:0D:85:1D, 2023-07-28 09:50:22, 2023-07-28 10:25:04, 11, 130, WPA2, CCMP, PSK, -55,      130,        0,   0.  0.  0.  0,  24, EBFCD5C1-EE81fI_DN11AOcY, 
96:FF:FC:91:EF:64, 2023-07-28 09:52:54, 2023-07-28 10:25:02, 44, 866, WPA3 WPA2, CCMP, SAE PSK, -85,        9,        0,   0.  0.  0.  0,  10, , 
E8:28:C1:DC:3A:B0, 2023-07-28 09:57:32, 2023-07-28 09:57:32, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DC:C6:B0, 2023-07-28 09:59:19, 2023-07-28 11:03:58,  6, 130, OPN, ,   , -71,        4,        5,   0.  0.  0.  0,  12, MIREA_GUESTS, 
CE:48:E7:86:4E:33, 2023-07-28 09:59:20, 2023-07-28 10:04:15, 44, 866, WPA3 WPA2, CCMP, SAE PSK, -65,        9,        0,   0.  0.  0.  0,  27, iPhone (Анастасия), 
E8:28:C1:DC:C6:B2, 2023-07-28 10:02:42, 2023-07-28 11:56:21,  6,  -1, OPN, ,   , -70,        0,       34, 192.168.  0.  1,   0, , 
E8:28:C1:DB:F5:F2, 2023-07-28 10:07:24, 2023-07-28 10:20:26,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
8E:1F:94:96:DA:FD, 2023-07-28 10:08:32, 2023-07-28 10:15:27, 44, 866, WPA3 WPA2, CCMP, SAE PSK, -67,       12,        0,   0.  0.  0.  0,  27, iPhone (Анастасия), 
BE:FD:EF:18:92:44, 2023-07-28 10:15:24, 2023-07-28 10:15:28,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -64,        0,        0,   0.  0.  0.  0,  15, Димасик , 
E8:28:C1:DC:BD:50, 2023-07-28 10:16:31, 2023-07-28 11:02:14, 11, 130, OPN, ,   , -75,        5,        0,   0.  0.  0.  0,  12, MIREA_GUESTS, 
E8:28:C1:DC:0B:B2, 2023-07-28 10:20:20, 2023-07-28 10:20:20, 11,  -1, OPN, ,   , -82,        0,        1,   0.  0.  0.  0,   0, , 
E8:28:C1:DC:3C:80, 2023-07-28 10:20:20, 2023-07-28 10:20:20, 52,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
7E:3A:10:A7:59:4E, 2023-07-28 10:20:37, 2023-07-28 11:37:28,  6, 180, WPA2, CCMP, PSK, -51,        3,        0,   0.  0.  0.  0,   8, vivo Y21, 
00:23:EB:E3:49:31, 2023-07-28 10:20:49, 2023-07-28 10:20:51,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:23:EB:E3:44:31, 2023-07-28 10:20:50, 2023-07-28 10:20:50,  2,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
A6:F7:05:31:E8:EE, 2023-07-28 10:25:47, 2023-07-28 10:25:47, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
3A:DA:00:F9:0C:02, 2023-07-28 10:27:01, 2023-07-28 10:27:10,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -65,        5,        0,   0.  0.  0.  0,  26, iPhone XS Max 🦊🐱🦊, 
F2:30:AB:E9:03:ED, 2023-07-28 10:27:02, 2023-07-28 10:27:09,  1, 130, WPA2, CCMP, PSK, -53,        6,        0,   0.  0.  0.  0,  15, iPhone (Uliana), 
A2:64:E8:97:58:EE, 2023-07-28 10:27:03, 2023-07-28 11:37:55, 10, 180, WPA2, CCMP, PSK, -67,       52,        4,   0.  0.  0.  0,   8, Mi Phone, 
EA:D8:D1:77:C8:08, 2023-07-28 10:27:03, 2023-07-28 11:50:18,  6,  65, WPA2, CCMP, PSK, -86,        1,        0,   0.  0.  0.  0,  23, DIRECT-08-HP M428fdw LJ, 
BA:2A:7A:DD:38:3E, 2023-07-28 10:27:15, 2023-07-28 10:27:15,  6, 130, WPA2, CCMP, PSK, -66,        1,        0,   0.  0.  0.  0,  17, Айфон (Oleg), 
12:54:1A:C6:FF:71, 2023-07-28 10:27:46, 2023-07-28 10:27:46,  6, 180, WPA2, CCMP, PSK, -66,        0,        0,   0.  0.  0.  0,   6, Amuler, 
CE:C3:F7:A4:7E:B3, 2023-07-28 10:27:47, 2023-07-28 10:48:11, 11, 130, WPA2, CCMP, PSK, -82,        0,        0,   0.  0.  0.  0,  12, DIRECT-A6-HP, 
E8:28:C1:DC:33:12, 2023-07-28 10:28:36, 2023-07-28 10:51:35, 11,  -1, OPN, ,   , -82,        0,        1,   0.  0.  0.  0,   0, , 
E8:28:C1:DB:FC:F2, 2023-07-28 10:28:37, 2023-07-28 10:28:46,  8,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:03:7A:1A:03:56, 2023-07-28 10:29:13, 2023-07-28 10:29:19, 11, 130, OPN, ,   , -68,        1,        0,   0.  0.  0.  0,   7, MT_FREE, 
00:26:99:BA:75:8F, 2023-07-28 10:29:20, 2023-07-28 10:34:08, 64,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DC:09:4C:32:34:9B, 2023-07-28 10:29:39, 2023-07-28 10:29:47, -1,  -1, , ,   , -60,        0,        0,   0.  0.  0.  0,  14, kak_vashi_dela, 
E8:28:C1:DC:F0:90, 2023-07-28 10:29:40, 2023-07-28 10:51:32, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
76:5E:F3:F9:A5:1C, 2023-07-28 10:30:22, 2023-07-28 10:30:22,  1, 180, WPA2, CCMP, PSK, -66,        1,        0,   0.  0.  0.  0,  12, Redmi 9C NFC, 
E0:D9:E3:49:04:52, 2023-07-28 10:30:23, 2023-07-28 11:47:17, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:03:7F:12:34:56, 2023-07-28 10:30:23, 2023-07-28 10:30:23,  6, 130, OPN, ,   , -76,        1,        0,   0.  0.  0.  0,   7, MT_FREE, 
E0:D9:E3:49:04:50, 2023-07-28 10:30:39, 2023-07-28 10:37:20, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DC:03:30, 2023-07-28 10:30:42, 2023-07-28 10:30:42, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
1E:C2:8E:D8:30:91, 2023-07-28 10:33:23, 2023-07-28 10:41:41,  6, 130, WPA2, CCMP, PSK, -67,        6,        0,   0.  0.  0.  0,   4, Damy, 
4A:86:77:04:B7:28, 2023-07-28 10:33:58, 2023-07-28 11:24:06,  6, 130, WPA2, CCMP, PSK, -37,      361,        1,   0.  0.  0.  0,  25, iPhone (Искандер), 
00:3E:1A:5D:14:45, 2023-07-28 10:34:03, 2023-07-28 10:34:05, 11, 130, OPN, ,   , -57,        1,        0,   0.  0.  0.  0,   7, MT_FREE, 
E0:D9:E3:49:04:40, 2023-07-28 10:34:12, 2023-07-28 10:34:19, 40,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
